hora,Baja,Media,Alta
0,0.24971594857369922,0.47295903413682366,0.777368453943257
1,0.24961013178344085,0.4693947840574138,0.7809478197409232
2,0.24830889187506833,0.46986600651189436,0.7779192814076535
3,0.248626293085396,0.471290869288892,0.7748990531885269
4,0.24607931780307057,0.4736654868665813,0.7762846381490449
5,0.24665382525806293,0.4740229121951811,0.7762846381490449
6,0.24383905991207203,0.47359667391262056,0.7759433010492333
7,0.23993862250782666,0.4745963456304508,0.7691502463054187
8,0.23997082960168192,0.4761603429250488,0.7669238683127572
9,0.23122082166199812,0.4797681051587302,0.7658617849655586
10,0.23117627295006482,0.4781771290605794,0.7673155298155298
11,0.23239962651727358,0.4743260660170765,0.7644564075630251
12,0.22239976798800326,0.47322285235933453,0.7654776936026936
13,0.2359450711987139,0.4757041841126695,0.7738026024363234
14,0.2306903693680862,0.47143665610660723,0.7807766872652369
15,0.2330516946581727,0.46862258792405853,0.7755860805860806
16,0.22926880882400874,0.47420005998945347,0.773208036495438
17,0.22797738333810477,0.47947547326357143,0.7738888888888888
18,0.22497821350762526,0.48091766317356044,0.7876287001287001
19,0.23077752653939754,0.47768455520956266,0.7824456224657838
20,0.23657683957116984,0.4744514472455649,0.7772625448028674
21,0.24295804819818223,0.468376631698431,0.7931369556369556
22,0.24199511454413414,0.4695757552783697,0.7786215133302512
23,0.25025113846708275,0.46920247365293805,0.7790375409423028
