id_estacion,nombre_estacion,obs,mean_bicis,mean_capacidad,mean_ocupacion,ocup_cat_fixed
a1c5bf0bc5ddcdb928871fbb97e89ada,18041 Ca. Gral. Varela - Av. Angamos Oeste,105,5.485714285714286,12.0,0.45714285714285713,Media
aea4af9a353483a0761b042ca8758636,18030 Ca. Atahualpa Cdra.6 (Parque Bonilla),105,6.076190476190476,16.0,0.37976190476190474,Media
aeddcf808d428c290c0d523999b4a298,18006 Av. Rep. de Panamá - Av. Gran Mcal. Ramón Castilla,105,10.314285714285715,20.0,0.5157142857142857,Media
b01138adb0102e1f6862bb8ba54b9721,18014 Ca. Ramon Ribeyro - Av. Benavides,105,5.152380952380953,24.0,0.2146825396825397,Baja
b167c074941be5e72c84b015140b95ae,18008 Ca.Lola Pardo - Ca. Mayor Arce de Oliva,105,5.571428571428571,18.0,0.30952380952380953,Baja
bb40d8da8fed6afda3b2ff8f0c59e48d,18048 Av. Mariscal La Mar - Av. Santa Cruz,105,6.495238095238095,14.0,0.4639455782312925,Media
c00d815ca6322144c5510d9f9e7121da,18011 Ca. GermánA.Goméz - Av.JoseR.Gastón,105,9.952380952380953,16.0,0.6220238095238095,Alta
c07eaacbff9bf0e1bc77ee5fd3b14bb9,18025 Malecón Cisneros - (Parque del Faro La Marina),105,6.628571428571429,20.0,0.3314285714285714,Baja
c87a72c82867fcd9f59503de195895b3,18035 Ca. Santander - Av. Santa Cruz,105,3.5904761904761906,12.0,0.2992063492063492,Baja
dc710115aa6014501e5b457a0b14ef25,18015 Ca. Bolivar - Ca. Alcanfores,105,9.780952380952382,24.0,0.40753968253968254,Media
e14ff39be43b5e75c56b2be2606d3a3e,18042 Ca. Retiro - Av. Angamos Oeste,105,5.0,16.0,0.3125,Baja
e8c7678be73f7c2febaadc3366c822ac,18050 Ca. Gral. Borgoño - Parque Manuel Solari,105,6.20952380952381,12.0,0.5174603174603175,Media
eb0b102f9e9bb933d2194064e70496ad,18032 Ca. Gral. Suarez - Av .Angamos Oeste,105,4.780952380952381,18.0,0.2656084656084656,Baja
edd8ff1ca69c234b86958ec42e3dd651,18046 Malecón de la Marina - Skate Park,105,7.133333333333334,16.0,0.44583333333333336,Media
eff5bc44fad7421819820f56aa6ded68,18012 Ca. Ignacio La Puente - Av. Benavides,105,3.5619047619047617,20.0,0.17809523809523808,Baja
