hora,Baja,Media,Alta
0,0.27098772944137006,0.4369713236171662,0.6419808201058201
1,0.2691343542493139,0.4344666265016249,0.6426948051948053
2,0.26677644251173666,0.4348595885542146,0.6462765957446809
3,0.26944767919652257,0.4350860421688055,0.6440233236151603
4,0.26867523182558223,0.43611047091129,0.6432798433838944
5,0.26907268303004656,0.4367902646290584,0.6446444133208838
6,0.26391054006143516,0.43603423463049135,0.6494641384061715
7,0.26229334391099096,0.43770878721859113,0.6485512689924454
8,0.2607169382904677,0.443523150000741,0.6439618483052135
9,0.25659196144380925,0.4440402371774921,0.6487990294156878
10,0.2575419471271096,0.44072493272977264,0.6490862573099415
11,0.25859056670578523,0.44333527329850864,0.6512397172981115
12,0.25649660401795127,0.4394379490926806,0.6505364554580957
13,0.26329163352583834,0.4434529704137547,0.6580469644902635
14,0.25745867401997147,0.4410246548114195,0.6557857345836886
15,0.26035185813455813,0.43772589824733965,0.6555228954326828
16,0.2601111252581841,0.4396151317669925,0.6563095238095238
17,0.2558118084992109,0.43943286175229584,0.6461930571686669
18,0.2516293183940243,0.44090599586999396,0.6471595655806183
20,0.266721380266943,0.4387529521612567,0.6504873294346978
21,0.26319187279431544,0.4386934212937511,0.6470634920634921
22,0.26743079072424986,0.4372360234416347,0.6477057106367452
23,0.2715198264602921,0.43816622063943295,0.6459961814914645
